DisplayName,DisplayItem,DisplayAmount,Lore,MaxRange,Chance,PercentChance,Items,Amounts,Commands,TimesToExecuteCommands,Messages
<green><bold>2!!! YOU LOSE!,BONE,1,ROLL 2,,1,2.78,AIR,1,give %player% diamond 0,1,<gray>You lost!
<green><bold>3!!! YOU LOSE!,BONE,1,ROLL 3,,2,5.56,AIR,1,give %player% diamond 0,1,<gray>You lost!
<green><bold>4!!! RE-ROLL!,TRIPWIRE_HOOK,1,ROLL 4,,3,8.33,AIR,1,"give %player% diamond 0, crates give physical CrapsDiamond10Crate-4 1 %player%",1,<gray>Re-Roll!
<green><bold>5!!! RE-ROLL!,TRIPWIRE_HOOK,1,ROLL 5,,4,11.11,AIR,1,"give %player% diamond 0, crates give physical CrapsDiamond10Crate-5 1 %player%",1,<gray>Re-Roll!
<green><bold>6!!! RE-ROLL!,TRIPWIRE_HOOK,1,ROLL 6,,5,13.89,AIR,1,"give %player% diamond 0, crates give physical CrapsDiamond10Crate-6 1 %player%",1,<gray>Re-Roll!
<green><bold>7!!! YOU WON!,DIAMOND,1,ROLL 7,,6,16.67,AIR,1,give %player% diamond 10,1,<gray>You won!
<green><bold>8!!! RE-ROLL!,TRIPWIRE_HOOK,1,ROLL 8,,5,13.89,AIR,1,"give %player% diamond 0, crates give physical CrapsDiamond10Crate-8 1 %player%",1,<gray>Re-Roll!
<green><bold>9!!! RE-ROLL!,TRIPWIRE_HOOK,1,ROLL 9,,4,11.11,AIR,1,"give %player% diamond 0, crates give physical CrapsDiamond10Crate-9 1 %player%",1,<gray>Re-Roll!
<green><bold>10!!! RE-ROLL!,TRIPWIRE_HOOK,1,ROLL 10,,3,8.33,AIR,1,"give %player% diamond 0, crates give physical CrapsDiamond10Crate-10 1 %player%",1,<gray>Re-Roll!
<green><bold>11!!! YOU WON!,DIAMOND,1,ROLL 11,,2,5.56,AIR,1,give %player% diamond 10,1,<gray>You won!
<green><bold>12!!! YOU LOSE!,BONE,1,ROLL 12,,1,2.78,AIR,1,give %player% diamond 0,1,<gray>You lost!
